"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Bodenacker 25","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Affoltern","","1351.0000000000","","","","","","","","","","","","","","","","8046","sp001","","1","","Spiel- und Liegewiese, Spielhügel, Pergola,  Grillstellen, Seilbahn, Sandkasten, Kombischaukel, Kletterelement, Drehkletterturm, Röhre, Rundlauf, Rutsche, Federwippe, Tischtennistisch, Pergola,  Feuerstellen, Brunnen, Tisch, Gemeinschaftszentrum","+41 44 371 05 13","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Bodenacker%2025&tolat=47.42493817&tolon=8.51048664","1","J","0 - 16 Jahre","Seilbahn, Sandkasten, Kombischaukel, Kletterelement, Drehkletterturm, Röhre, Rundlauf, Geschlossene Rutsche, Federwippe, Tischtennistisch","","","Gemeinschaftszentrum, naturnahe Umgebung","GZ mit Spielplatz","Spiel- und Liegewiese, Spielhügel, Pergola,  Grillstellen","0001","POINT (2680874 1253233.9)"
"","Neubrunnen-/Birchstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Werkhof Zürich Nord","","1352.0000000000","","","","","","","","","","","","","","","","8050","sp162","","1","","Spielhügel, Kletterelement, Balanciergerät, Findlinge, Spielplatztafel, kleine Spielanlage","+41 44 412 06 77","","","","","","Neubrunnen-/Birchstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Neubrunnen-/Birchstrasse&tolat=47.41702986&tolon=8.53762809","162","J","0 - 5 Jahre","Kletterelement, Balanciergerät, Findlinge","","","kleine Spielanlage","Spielplatz","Spielhügel","0162","POINT (2682934 1252383)"
"","Gleisbogen 40 (Spielplatz)","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Pfingstweidpark","","1353.0000000000","","","","","","","","","","","","","","","","8005","sp189","","1","","Spiel- und Liegewiese, Planschbecken, Brettschaukel, Offene Hangrutsche, Brettschaukel, Sandbereich, Pumpen, Tischtennistisch, Sitzbänke, Feuerstelle, Sonnenschirm, moderne Parkanlage","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Gleisbogen%2040%20(Spielplatz)&tolat=47.38814850&tolon=8.51240891","189","J","0 - 5 Jahre","Brettschaukel, Offene Hangrutsche, Brettschaukel, Sandbereich, Pumpen, Tischtennistisch","","","moderne Parkanlage","Spielplatz","Spiel- und Liegewiese, Planschbecken","0189","POINT (2681075 1249145.9)"
"","Klingen-/Josefstrasse 46","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Klingenhof","","1354.0000000000","","","","","","","","","","","","","","","","8005","sp101","","1","","Kiesplatz, Rotationsgerät, Federwippe, Sandbereich, Hangrutsche, Sitzbänke, Brunnen, Basketballkorb, einmalige Spielanlage im Innenhof, Bauruine","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Klingen-/Josefstrasse%2046&tolat=47.38194114&tolon=8.53295770","101","J","0 - 5 Jahre","Rotationsgerät, Federwippe, Sandbereich, Hangrutsche","","","einmalige Spielanlage im Innenhof, ehemalige Bauruine als Spielplatz genutzt","Spielplatz","Kiesplatz","0101","POINT (2682636 1248477.2)"
"","Mythenquai","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Mythenquai (Strandbad)","","1355.0000000000","","","","","","","","","","","","","","","","8002","sp134","","1","","Spiel- und Liegewiese, Sandstrand, Bockrutsche, Brettschaukel, Hängematte, Federwippe, Pendelschaukel, Partnerschaukel, Korbschaukel, Sitzkarussell, Drehkletterturm, Sitzbänke","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Mythenquai&tolat=47.35344183&tolon=8.53461163","134","J","0 - 9 Jahre","Bockrutsche, Brettschaukel, Hängematte, Federwippe, Pendelschaukel, Partnerschaukel, Korbschaukel, Sitzkarussell, Drehkletterturm","","","Jeweils kostenlos zugänglich von Oktober bis April","Spielplatz in Badeanlage","Spiel- und Liegewiese, Sandstrand","0134","POINT (2682805 1245310.6)"
"","Erligatterweg 51","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Neubühl","","1422.0000000000","","","","","","","","","","","","","","","","8038","sp087","","1","","Spiel- und Liegewiese, Sandkasten, Brettschaukel, Balkenwippe, Hangrutsche, Federwippe,  Spielkisten, Sitzbänke, Feuerstelle, Gemeinschaftszentrum","+41 44 482 10 03","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Erligatterweg%2051&tolat=47.33202140&tolon=8.53273682","87","J","0 - 5 Jahre","Sandkasten, Brettschaukel, Balkenwippe, Hangrutsche, Federwippe","","","Gemeinschaftszentrum mit übersichtlichem Aussenraum","GZ mit Spielplatz","Spiel- und Liegewiese","0087","POINT (2682696.8 1242927.4)"
"","Untere Zäune","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Untere Zäune","","1423.0000000000","","","","","","","","","","","","","","","","8001","sp047","","1","","Kleiner Kiesplatz mit Sitzmöglichkeiten, Brettschaukel, Sandbereich, Karussell, Balanciergerät, Hüpfteller, Klettergerät, Tischtennistisch, Sitzbänke, eingezäunter Kleinkinderspielbereich, Baumbestand","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Untere%20Zäune&tolat=47.37198608&tolon=8.54555679","47","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Karussell, Balanciergerät, Hüpfteller, Klettergerät, Tischtennistisch","","","eingezäunter Kleinkinderspielbereich unter altem Baumbestand","Spielplatz","Kleiner Kiesplatz mit Sitzmöglichkeiten","0047","POINT (2683603 1247383.9)"
"","Buchegg-/Hofwiesenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Buchegg","","1424.0000000000","","","","","","","","","","","","","","","","8057","sp024","","1","","Sandanlage, Boulderwand, Spielhügel, Hängematte, Seilbahn,  Hangrutsche, Rutsche, Kombischaukel,  Brettschaukel, Kletterelement, Balanciergerät, Korbschaukel, Sandspielgeräte,  Wasserspiel, Feuerstellen, Gemeinschaftszentrum, Tiere, Velopark","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Buchegg-/Hofwiesenstrasse&tolat=47.39971366&tolon=8.53471309","24","J","0 - 16 Jahre","Hängematte, Seilbahn,  Hangrutsche, Geschlossene Rutsche, Kombischaukel,  Brettschaukel, Kletterelement, Balanciergerät, Korbschaukel, Sandspielgeräte, Pumpen, Wasserspiel","","","Gemeinschaftszentrum mit Tieren,  grosszügige Anlage, Velopark","GZ mit Spielplatz","Sandanlage, Spiel- und Liegewiese, Boulderwand, Spielhügel","0024","POINT (2682741 1250454.9)"
"","Algierstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Buchlern","","1425.0000000000","","","","","","","","","","","","","","","","8048","sp104a","","1","","Bach, Spiel- und Liegewiese, Bockrutsche, Federwippe, Seilbahn, Brettschaukel, Sandbereich, Federwippe, Balanciergerät, Kletteranlage mit Rutsche, Sitzbänke, Fussballtore, Bach","+41 44 431 57 61","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Algierstrasse&tolat=47.37983750&tolon=8.47981292","104a","J","0 - 9 Jahre","Bockrutsche, Federwippe, Seilbahn, Brettschaukel, Sandbereich, Federwippe, Balanciergerät, Kletteranlage mit Rutsche","","","grosszügige Spielanlage am Bach","Spielplatz","Bach, Spiel- und Liegewiese","0104A","POINT (2678626.2 1248188.8)"
"","Winterthurer-/Milchbuckstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Milchbuckanlage","","1426.0000000000","","","","","","","","","","","","","","","","8057","sp028","","1","","Spiel- und Liegewiese, Brettschaukel, Sandbereich, Federwippe, Sitzbänke","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Winterthurer-/Milchbuckstrasse&tolat=47.39375760&tolon=8.54428698","28","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Federwippe","","","Kleine Parkanlage","Spielplatz","Spiel- und Liegewiese","0028","POINT (2683473 1249802.9)"
"","Rieter-/Waffenplatzstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Rieteranlage","","1427.0000000000","","","","","","","","","","","","","","","","8002","sp117","","1","","grosse Kiesfläche, Federwippe, Brettschaukel, Sitzbänke, Pergola","+41 44 201 75 00","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Rieter-/Waffenplatzstrasse&tolat=47.35642417&tolon=8.52654996","117","J","0 - 5 Jahre","Federwippe, Brettschaukel","","","kleine Spielanlage","Spielplatz","grosse Kiesfläche","0117","POINT (2682191.5 1245633.8)"
"","Glaubten-Müsel","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","Glaubten-Müsel (Nord)Glaubten-Müsel (Nord)","","1428.0000000000","","","","","","","","","","","","","","","","","sp9622","","1","","","+41 44 412 46 13","","","","","","Glaubten-Müsel","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Glaubten-Müsel&tolat=47.40812495&tolon=8.51175256","","N","","","","","","","","0088A","POINT (2680995 1251366)"
"","Fronwaldstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","_NULL","","","Spielplatz","","Bauspielplatz Affoltern","","1429.0000000000","","","","","","","","","","","","","","","","8046","sp192","","1","","Abenteuerspielplatz, keine Spielgeräte, Feuerstelle, Hauptaktivität ist der Bau von Hütten und das Werken mit Holz und anderen Materialien, Bauspielplatz","+41 44 371 09 20","","","","","","Fronwaldstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Fronwaldstrasse 13","192","J","0 - 16 Jahre","keine Spielgeräte","","","Hauptaktivität ist der Bau von Hütten und das Werken mit Holz und anderen Materialien, beaufsichtigter Bauspielplatz mit Öffnungszeiten","Bauspielplatz - privater Verei","Abenteuerspielplatz","0193","POINT (2681535 1252156)"
"","Opfikonstrasse","Opfikonstrasse","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","","","","Spielplatz","","OpfikonstrasseOpfikonstrasse","0006","1496.0000000000","","","","","","","","","","","","","","","","","sp9104","","1","","","+41 44 322 02 20","","","","","","Opfikonstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Opfikonstrasse&tolat=47.41787127&tolon=8.56976968","","N","","","","","","","","0006","POINT (2685358 1252511)"
"","Föhrenstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Föhrenwald","","1497.0000000000","","","","","","","","","","","","","","","","8050","sp015","","1","","Spiel- und Liegewiese, Planschbecken, Kletteranlage mit Rutsche, Brettschaukel, Brettschaukel, Spielhaus, Sandbereich, Hüpfteller,  Federwippe, Feuerstellen, Wald","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Föhrenstrasse&tolat=47.40580982&tolon=8.54159575","15","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Brettschaukel, Spielhaus, Sandbereich, Hüpfteller,  Federwippe","","","im Wald gelegener Quartierspielplatz","Spielplatz","Spiel- und Liegewiese, Planschbecken","0015","POINT (2683251 1251139.9)"
"","Obere Waidstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Obere Waidstrasse","","1498.0000000000","","","","","","","","","","","","","","","","8037","sp023","","1","","Sandanlage, Sandbereich, Brettschaukel, Kletteranlage mit Rutsche, Brunnen, Sitzbänke, Aussicht","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Obere%20Waidstrasse&tolat=47.39960751&tolon=8.52212539","23","J","0-5 Jahre","Sandbereich, Brettschaukel, Kletteranlage mit Rutsche","","","Aussichtspunkt","Spielplatz","Sandanlage","0023","POINT (2681791 1250429.9)"
"","Manesseplatz","","","Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<BR>Damit will man dieses Quartier aufwerten.<BR>","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","Spielplatz_Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<br>Damit will man dieses Quartier aufwerten.<br>","","","Spielplatz","","Manesseplatz","","1499.0000000000","","","","","","","","","","","","","","","","","sp9645","","0","","","+41 44 412 46 13","","","","","","Manesseplatz","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Manessestrasse 80","","N","","","","","","","","TAZ007","POINT (2681806 1246667)"
"","Balgriststrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Balgrist","","1500.0000000000","","","","","","","","","","","","","","","","8008","sp059","","0","","Kiesplatz, Kletterturm, Hüpfteller, Kletterelement, Korbschaukel, Hängematte, Reck, Sitzbänke","+41 44 422 54 97","","","","","","Balgriststrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Balgriststrasse&tolat=47.35410165&tolon=8.57827889","59","J","0 - 9 Jahre","Kletterturm, Hüpfteller, Kletterelement, Korbschaukel, Hängematte, Reck","","","Quartierspielplatz","Spielplatz","Kiesplatz","0059","POINT (2686103 1245431)"
"","Staffelstrasse","","","Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<BR>Damit will man dieses Quartier aufwerten.<BR>","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0__","Spielplatz_Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<br>Damit will man dieses Quartier aufwerten.<br>","","","Spielplatz","","Staffelstrasse 8","","1501.0000000000","","","","","","","","","","","","","","","","","sp9647","","0","","","+41 44 412 46 13","","","","","","Staffelstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Staffelstrasse 6","","N","","","","","","","","TAZ009","POINT (2681811 1246186)"
"Heinrichstrasse 240","Quartierpark Schütze-Areal","Quartierpark Schütze","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Spielplatz","","","Spielplatz","","Quartierpark Schütze (A) Quartierpark Schütze (A)","","1502.0000000000","","","","","","","","","","","","","","","Zürich","8005","sp9568","","1","","Quartierpark Schütze","+41 44 361 63 18","","","","","","Quartierpark Schütze-Areal","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Quartierpark%20Schütze-Areal&tolat=47.38943114&tolon=8.52353555","","N","","","","","","","","0151A","POINT (2681913 1249300)"
"","Kantstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Kirche Fluntern","","1503.0000000000","","","","","","","","","","","","","","","","8044","sp046","","1","","Spiel- und Liegewiese, Pumpen, Brettschaukel, Sandbereich, Sitzbänke, Brunnen","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Kantstrasse&tolat=47.37663354&tolon=8.55628992","46","J","0 - 5 Jahre","Pumpen, Brettschaukel, Sandbereich","","","ruhig, schön gelegene Anlage","Spielplatz","Spiel- und Liegewiese","0046","POINT (2684406.2 1247912)"
"","Hohe Promenade","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hohe Promenade","","1570.0000000000","","","","","","","","","","","","","","","","8001","sp051","","1","","Kleinkinderspielplatz, Sitzkarussell, Brettschaukel, Federwippe, Rutsche, Sandbereich, Sitzbänke, Brunnen, eingefriedeter Kleinkinderspielplatz","+41 44 361 63 18","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Hohe%20Promenade&tolat=47.36776569&tolon=8.54877439","51","J","0 - 5 Jahre","Sitzkarussell, Brettschaukel, Federwippe, Rutsche, Sandbereich","","","eingefriedeter Kleinkinderspielplatz","Spielplatz","Kleinkinderspielplatz","0051","POINT (2683852.5 1246918.1)"
