"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","typ","kreis","kommentar","gebuehren","oeffnungsz","standort","geometry"
"","Ankerstrasse 101","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","101","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Helvetiaplatz (nicht rollstuhlgängig)","","8069","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wc107","","1","Ankerstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Ankerstrasse 101","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Ankerstrasse 101","nicht rollstuhlgängig","4","2 Multifunktions-WCs.","Gebührenfrei.","24h","Auf dem Helvetiaplatz, Ankerstrasse 101","POINT (2682218 1247812)"
"","Theaterstrasse 9","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","9","0__",";Geöffnet 24h. Gebührenfrei_Behinderten-WC (kein ZüriWC) im Parkhaus.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Opernhausparking (nicht rollstuhlgängig)","","8070","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","wc1339","","1","Theaterstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Theaterstrasse 9","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Theaterstrasse 9","nicht rollstuhlgängig","1","1 Multifunktions-WC. Ein Behinderten-WC findet sich im UG im Parkhaus (Kein ZüriWC).","Gebührenfrei","24h","Im neuen Pavillon-Restaurant auf dem Theaterplatz","POINT (2683703 1246705)"
"","Bellerivestrasse 268","","","","","Umwelt- und Gesundheitsschutz","202503131046","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","268","0__",";Geöffnet 24h von März bis Oktober. Gebührenfrei.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Hafen Tiefenbrunnen (nicht rollstuhlgängig)","","8086","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8008","wc066","","0","Bellerivestrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bellerivestrasse 268","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?tolat=2684946&tolon=1244607&toname=Zürich, Bellerivestrasse 268","nicht rollstuhlgängig","8","Kombiniertes Damen- und Herren-WC, Pissoir. ","Gebührenfrei","24 h. Geöffnet von März bis Oktober.","Bellerivestrasse 268, bei Kibag und Bildhauerin","POINT (2684946 1244607)"
"","Platzpromenade 9","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","9","0__",";Park nachts geschlossen. Geöffnet März-Oktober. Gebührenfrei.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Platzspitz (nicht rollstuhlgängig)","","8087","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","wc011","","1","Platzpromenade","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Platzpromenade 9","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Platzpromenade 9","nicht rollstuhlgängig","1","Multifunktions-WC. Im Winter geschlossen. Bei der Walchebrücke findet sich ein ganzjährig geöffnetes, rollstuhlgängiges ZüriWC.","Gebührenfrei","Während der Öffnungszeiten des Parks von März bis Oktober.","Platzpromenade 9 / Im Park Seite Limmat","POINT (2683167 1248409)"
"","Bellerivestrasse 170","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","170","0__",";Geöffnet Betriebszeiten Lakeside. Gebühr Fr. 1.--. Pissoir gratis._Behinderten-WC (kein ZüriWC) im Restaurant.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Zürichhorn, Lakeside (nicht rollstuhlgängig)","","8089","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8008","wc072","","1","Bellerivestrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bellerivestrasse 170","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bellerivestrasse 170","nicht rollstuhlgängig","8","Damen- und Herren WC, Pissoir. RollstuhlfahrerInnen benützen das WC im Restaurant. Die Anlage wird vom Personal des Restaurants Lakeside betreut und gereinigt.","Gebühr Fr. 1.--. Pissoir gratis.","Nachts geschlossen.","Kasino Zürichhorn","POINT (2684259 1245273)"
"","Albisriederstrasse 516","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","516","0__",";Geöffnet 24h von März bis Oktober. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Hasenrain (nicht rollstuhlgängig)","","8110","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8047","wc075","","1","Albisriederstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Albisriederstrasse 516","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Albisriederstrasse 516","nicht rollstuhlgängig","9","Multifunktions-WC.","Gebührenfrei","24 Std. von März bis Oktober.","Hasenrainstr./Albisriederstrasse 516 beim Schiessplatz","POINT (2678507 1247645)"
"","General-Guisan-Quai 37","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","37","0__",";Geöffnet 24h. Gebührenfrei.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Arboretum (nicht rollstuhlgängig)","","8138","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8002","wc100","","1","General-Guisan-Quai","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","General-Guisan-Quai 37","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, General-Guisan-Quai 37","nicht rollstuhlgängig","2","2 Multifunktions-WCs. Bei schönem Wetter sehr stark frequentiert.","Gebührenfrei.","24h","General-Guisan-Quai 37","POINT (2682864 1246445)"
"","Buchholzstrasse 53c","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","53c","0__",";Geöffnet 24h von März-Oktober. Gebührenfrei.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Buchholz (nicht rollstuhlgängig)","","8182","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8053","wc096","","1","Buchholzstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Buchholzstrasse 53c","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Buchholzstrasse 53c","nicht rollstuhlgängig","7","Multifunktions-WC beim Spielplatz. Im Winter geschlossen.","Gebührenfrei","24 h. März bis Oktober.","Buchholzstrasse 53c/Stöckenhaldenweg, beim Spielplatz am Waldrand","POINT (2686592 1246263)"
"","Zurlindenstrasse 22","","0","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","22","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Aegerten (nicht rollstuhlgängig)","","9204","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8003","wc024","","0","Zurlindenstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Zurlindenstrasse 22","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Zurlindenstrasse 22","nicht rollstuhlgängig","3","1 Multifunktions-WC. ","Gebührenfrei","24 h","Zurlindenstr 22, Spielplatz beim Schulhaus","POINT (2681851 1246964)"
"","Bändlistrasse 90","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","90","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Werdhölzli (nicht rollstuhlgängig)","","9224","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8064","wc078","","0","Bändlistrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bändlistrasse 90","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bändlistrasse 90","nicht rollstuhlgängig","9","Multifunktions-WC. ","Gebührenfrei","24 h","Bändlistrasse 90, Endstation Tram 4","POINT (2678771 1250201)"
"","Mythenquai 309","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","309","0__",";Rollstuhlgängiges-WC Fr. 1.--, Eurokey oder Kreditkartenzahlung möglich, Multifunktions-WC kostenlos benutzbar","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Landiwiese (nicht rollstuhlgängig)","","9361","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8002","wc020","","0","Mythenquai","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mythenquai 309","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Mythenquai 309","nicht rollstuhlgängig","2","4 Multifunktions-WCs. ","Gebührenfrei","24h","Mythenquai 309 / unter der Fussgängerbrücke","POINT (2682806 1244952)"
"","Wehntalerstrasse 384","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","384","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Glaubtenstrasse (nicht rollstuhlgängig)","","9682","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8046","wc087","","1","Wehntalerstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Wehntalerstrasse 384","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Wehntalerstrasse 384","nicht rollstuhlgängig","11","2 Multifunktions-WCs.","Gebührenfrei","24 h","Ecke Binzmühlestrasse / Wehntalerstrasse 384","POINT (2681556 1252054)"
"","Langstrasse 30","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","30","0__",";Pissoir für Männer. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Obere Langstrasse (Pissoir)","","9833","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wc042","","0","Langstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Langstrasse 30","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Langstrasse 30","Pissoir","4","Zurzeit geschlossen.","Gebührenfrei","24 h","Langstrasse 30 / Beim Kanzleischulhaus","POINT (2682059 1247754)"
"","Paradeplatz 11","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","11","0__",";NULL","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Paradeplatz (nicht rollstuhlgängig)","","9967","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","wc010","","1","Paradeplatz","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Paradeplatz 11","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Paradeplatz 11","nicht rollstuhlgängig","1","Bediente Anlage: Damen- und Herren WC, Wickeltisch. Ein Behinderten-WC (mit Eurokey-Schliessung) findet sich bei der Credit Suisse an der Bärengasse (kein ZüriWC).","Gebühr Fr. 1.--..","Mon.-Sam. 06.30 - 20.45 Uhr, Son. 09:30 - 17:45 Uhr","Paradeplatz 11 / Im Tramwartehaus die Treppe runter","POINT (2683105 1247124)"
"","Carparkplatz, Ausstellungsstrasse bei Nr. 15","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";WC-Automat. Gebühr Fr. 1.--","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Carparkplatz (nicht rollstuhlgängig)","","10528","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8005","wc047","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Carparkplatz, Ausstellungsstrasse bei Nr. 15","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Ausstellungsstrasse 12","nicht rollstuhlgängig","5","Zwei WC-Automaten für Damen- und Herren.","Fr. 1.--.","24 h","Ausstellungsstrasse 15, bei der Einfahrt zum Busbahnhof.","POINT (2682973 1248382)"
