"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","geometry"
"","Mobiles WC Hürstwiese","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Hürstwiese","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Hürstholz","","8798","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8046","wcm7353","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Hürstwiese","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Seebacherstrasse 430","POINT (2681595 1252467)"
"","Mobiles WC Hohenstein","","","Die mobile WC-Anlage ist ganzjährig offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Komposttoilette Hohenstein<br>Ganzjährig","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Hohenstein","","8856","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8055","wcm7352","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Hohenstein","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Hohensteinstrasse 205","POINT (2679241 1246086)"
"","Mobiles WC Kanzleiareal","","","Die mobile WC-Anlagen sind ganzjährig offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Kompost-Toilette","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Kanzleiareal","","9084","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcm7346","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Kanzleiareal","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Langstrasse 30","POINT (2682061 1247754)"
"","Mobiles Pissoir Piazza Cella","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Mobiles Pissoir","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles Pissoir Piazza Cella","","9085","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcm7348","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles Pissoir Piazza Cella","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Dienerstrasse 40","POINT (2682200 1248075)"
"","Mobiles WC Röschibachplatz","","","Die mobile WC-Anlage ist ganzjährig offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Komposttoilette Röschibachplatz","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Röschibachplatz","","9598","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8037","wcm11632","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Röschibachplatz","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Röschibachstrasse 72","POINT (2682292 1249724)"
"","Mobiles WC Sonnenbergterrasse","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Komposttoilette Sonnenbergterrasse<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zuerwc@zuerich.ch","Mobiles WC Sonnenberterrasse","","8380","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8032","wcm11633","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Sonnenbergterrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Heuelstrasse 43","POINT (2685228 1247028)"
"","Mobiles WC Tiefenbrunnen","","","Die mobile WC-Anlage ist jeweils von Anfang November bis Ende März offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Komposttoilette Tiefenbrunnen<br>November bis Februar bei<br>Winterschliessung des nahen ZüriWC","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Tiefenbrunnen","","8381","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8008","wcm11634","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Tiefenbrunnen","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bellerivestrasse 312","POINT (2685012 1244519)"
"","Mobiles WC Wipkingerpark","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Komposttoilette<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Wipkingerpark","","8382","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8037","wcm11635","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Wipkingerpark","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Ampèrestrasse 2","POINT (2681590 1249686)"
"","Mobiles WC Pflanzschulwiese","","","Die mobile WC-Anlage ist jeweils von Anfang Juni bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Pflanzschulwiese<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Pflanzschulwiese","","8507","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcm11631","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Pflanzschulwiese","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Feldstrasse 35","POINT (2681741 1247799)"
"","Mobiles WC Bullingerplatz","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Bullingerplatz<br>1 Kompotoi April-Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Bullingerplatz","","8566","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcm11583","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Bullingerplatz","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bullingerstrasse 4","POINT (2681343 1248210)"
